Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
20653465,7/10/2016 13:56,7/10/2016 14:13,70334,1063,1029,Alder St & S Highland Ave,1039,Atwood St & Bates St,Customer
20653649,7/10/2016 13:58,7/10/2016 14:44,70454,2729,1033,Ivy St & Walnut St   ,1013,Isabella St & Federal St (PNC Park),Customer
20653616,7/10/2016 13:58,7/10/2016 15:05,70214,4043,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
20653648,7/10/2016 13:58,7/10/2016 15:07,70050,4094,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
20653698,7/10/2016 13:59,7/10/2016 16:49,70386,10188,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Customer
20653751,7/10/2016 14:00,7/10/2016 14:44,70384,2629,1033,Ivy St & Walnut St   ,1013,Isabella St & Federal St (PNC Park),Customer
20653765,7/10/2016 14:00,7/10/2016 16:49,70452,10118,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Customer
20653772,7/10/2016 14:01,7/10/2016 14:44,70372,2585,1033,Ivy St & Walnut St   ,1013,Isabella St & Federal St (PNC Park),Customer
20653920,7/10/2016 14:03,7/10/2016 14:22,70269,1147,1012,North Shore Trail & Fort Duquesne Bridge,1004,First Ave & B St (T Station),Customer
20654130,7/10/2016 14:06,7/10/2016 14:28,70292,1323,1018,37th St & Butler St,1015,Federal St & E North Ave,Subscriber
20654269,7/10/2016 14:09,7/10/2016 14:27,70388,1111,1019,42nd St & Butler St,1016,17th St & Penn Ave,Customer
20654271,7/10/2016 14:09,7/10/2016 14:27,70068,1130,1019,42nd St & Butler St,1016,17th St & Penn Ave,Customer
20654309,7/10/2016 14:09,7/10/2016 14:28,70297,1142,1028,Penn Ave & Putnam St (Bakery Square),1037,Frew St & Schenley Dr,Subscriber
20654342,7/10/2016 14:10,7/10/2016 14:34,70356,1443,1014,Ridge Ave & Brighton Rd (CCAC),1013,Isabella St & Federal St (PNC Park),Customer
20654340,7/10/2016 14:10,7/10/2016 14:34,70100,1445,1014,Ridge Ave & Brighton Rd (CCAC),1013,Isabella St & Federal St (PNC Park),Customer
20654362,7/10/2016 14:10,7/10/2016 14:53,70445,2579,1041,Fifth Ave & S Bouquet St,1000,Liberty Ave & Stanwix St,Customer
20654324,7/10/2016 14:10,7/10/2016 14:54,70387,2683,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20654409,7/10/2016 14:11,7/10/2016 14:52,70380,2472,1041,Fifth Ave & S Bouquet St,1000,Liberty Ave & Stanwix St,Customer
20654444,7/10/2016 14:12,7/10/2016 14:53,70419,2504,1041,Fifth Ave & S Bouquet St,1000,Liberty Ave & Stanwix St,Customer
20654893,7/10/2016 14:20,7/10/2016 14:42,70262,1320,1003,First Ave & Smithfield St (Art Institute),1045,S 27th St & Sidney St. (Southside Works),Customer
20655222,7/10/2016 14:25,7/10/2016 14:47,70047,1345,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
20655303,7/10/2016 14:26,7/10/2016 14:44,70394,1112,1001,Forbes Ave & Market Square,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
20655318,7/10/2016 14:26,7/10/2016 16:11,70108,6315,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
20655348,7/10/2016 14:26,7/10/2016 16:13,70420,6392,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
20655441,7/10/2016 14:27,7/10/2016 15:22,70266,3304,1017,21st St & Penn Ave,1009,12th St & Penn Ave,Subscriber
20655546,7/10/2016 14:29,7/10/2016 14:49,70109,1221,1001,Forbes Ave & Market Square,1016,17th St & Penn Ave,Customer
20655620,7/10/2016 14:30,7/10/2016 14:50,70184,1174,1001,Forbes Ave & Market Square,1016,17th St & Penn Ave,Customer
20655666,7/10/2016 14:31,7/10/2016 14:47,70247,968,1000,Liberty Ave & Stanwix St,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
20655737,7/10/2016 14:32,7/10/2016 15:15,70107,2571,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Subscriber
20655815,7/10/2016 14:33,7/10/2016 15:31,70015,3453,1017,21st St & Penn Ave,1017,21st St & Penn Ave,Customer
20655887,7/10/2016 14:34,7/10/2016 15:07,70137,1926,1026,Penn Ave & S Whitfield St,1028,Penn Ave & Putnam St (Bakery Square),Customer
20655885,7/10/2016 14:34,7/10/2016 16:16,70139,6093,1018,37th St & Butler St,1016,17th St & Penn Ave,Customer
20655938,7/10/2016 14:35,7/10/2016 14:50,70054,866,1014,Ridge Ave & Brighton Rd (CCAC),1016,17th St & Penn Ave,Subscriber
20655929,7/10/2016 14:35,7/10/2016 15:06,70163,1824,1013,Isabella St & Federal St (PNC Park),1047,S 22nd St & E Carson St,Customer
20655904,7/10/2016 14:35,7/10/2016 15:36,70219,3656,1017,21st St & Penn Ave,1017,21st St & Penn Ave,Customer
20656003,7/10/2016 14:37,7/10/2016 16:06,70275,5378,1019,42nd St & Butler St,1019,42nd St & Butler St,Customer
20656094,7/10/2016 14:38,7/10/2016 14:55,70335,1002,1047,S 22nd St & E Carson St,1001,Forbes Ave & Market Square,Subscriber
20656141,7/10/2016 14:39,7/10/2016 15:18,70136,2311,1045,S 27th St & Sidney St. (Southside Works),1013,Isabella St & Federal St (PNC Park),Subscriber
20656288,7/10/2016 14:42,7/10/2016 15:07,70064,1496,1040,Bigelow Blvd & Fifth Ave,1018,37th St & Butler St,Subscriber
20656358,7/10/2016 14:43,7/10/2016 15:30,70421,2854,1048,S 18th St & Sidney St,1021,Taylor St & Liberty Ave,Customer
20656397,7/10/2016 14:43,7/10/2016 17:46,70095,10933,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
20656469,7/10/2016 14:45,7/10/2016 15:05,70403,1237,1023,Liberty Ave & Baum Blvd,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Customer
20656523,7/10/2016 14:45,7/10/2016 16:02,70075,4585,1048,S 18th St & Sidney St,1045,S 27th St & Sidney St. (Southside Works),Customer
20656634,7/10/2016 14:47,7/10/2016 15:49,70359,3721,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
20656681,7/10/2016 14:48,7/10/2016 15:10,70041,1317,1000,Liberty Ave & Stanwix St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20656684,7/10/2016 14:48,7/10/2016 15:10,70160,1324,1000,Liberty Ave & Stanwix St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20656644,7/10/2016 14:48,7/10/2016 15:50,70234,3723,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
20656730,7/10/2016 14:49,7/10/2016 15:10,70318,1256,1000,Liberty Ave & Stanwix St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20656784,7/10/2016 14:50,7/10/2016 16:08,70454,4672,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20656851,7/10/2016 14:51,7/10/2016 15:06,70414,847,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
